# X	Y	Z	n
-9142230	8215035	5941133	512
-4450780	4424220	1162008	512
-11313780	9736250	8068365	125
-7892330	7298738	4684346	8
-10260795	9036284	6996216	125
-3420455	3420207	205701	469
-3743505	3740685	491134	604
-5022693	4949100	1763941	64
-5492781	5369951	2215240	810
-6538949	6251770	3278629	840
-8700367	7912419	5464995	71
-4771185	4722045	1492025	125
-5278668	5182277	1992587	304
-3430593	3430423	181731	1
-5074704	4992993	1838247	216
-4527840	4493605	1278484	29
-3929390	3922590	680001	1
-4210426	4192330	985892	512
-14105910	11549287	10818606	919
-13682910	11261508	10426670	512
